IDENT_MEN;pond_menC;JNBVEH;JNBVHS;JNBVPHS;JNBCCHS;JNBVULHS;JNBMOTO;JNBCYCLO;JNBAUTVEH;JNBVELOAD;JNBVELOENF;JUTILMOTO;JUTILCYCLO;JUTILAUTVEH;JUTILVELOAD;JUTILVELOENF;JVOLVELO;JPLUSVELO;JNBKVM;JUTIL2RM;BLOGDIST
1100001238000;1574.2339473;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001243000;4756.1640544;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001244000;1341.9737661;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001246000;2338.7440431;1;2;;;;0;0;0;2;0;;;;1;;2;;1;0;1
1100001248000;1568.1828847;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001255000;1462.5024645;2;2;;;;0;0;0;2;0;;;;2;;2;;2;0;1
1100001258000;1766.8791487;1;2;;;;0;0;0;1;2;;;;0;0;2;;1;0;1
1100001268000;1840.3307341;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001313000;2635.8966022;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001314000;3044.2948139;1;2;;;;0;0;0;1;0;;;;1;;2;;1;0;1
1100001317000;2305.5710608;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001318000;2455.7790255;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001324000;2566.2364983;1;2;;;;0;0;0;1;0;;;;1;;2;;1;0;1
1100001334000;2197.0557597;1;2;;;;0;0;0;1;0;;;;1;;2;;1;0;1
1100001335000;514.68122182;2;2;;;;0;0;0;2;2;;;;1;2;2;;2;0;1
1100001338000;2415.6836717;2;2;;;;0;0;0;2;2;;;;1;2;2;;2;0;2
1100001344000;3727.1826513;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100001346000;3384.1988754;2;2;;;;0;0;0;2;1;;;;1;1;2;;2;0;1
1100001354000;1669.3268138;1;2;;;;0;0;0;1;2;;;;0;2;2;;1;0;1
1100001355000;1389.0747527;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;1
1100001363000;3117.4605482;0;;;;;0;0;0;1;0;;;;1;;2;;0;0;1
1100001364000;4010.7428876;1;2;;;;0;0;0;5;0;;;;2;;2;;1;0;1
1100001365000;3911.5990747;3;2;;;;0;0;0;2;2;;;;2;2;2;;3;0;2
1100001367000;1963.5449151;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001413000;3145.2282521;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100001414000;2694.8682277;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001415000;1545.7973379;3;2;;;;1;0;0;0;0;0;;;;;2;;3;0;1
1100001417000;2509.559497;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001418000;1068.6947574;2;2;;;;0;0;0;4;0;;;;4;;2;;2;0;1
1100001426000;1601.1064702;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;1
1100001433000;3429.4065048;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001434000;2450.1575161;3;2;;;;0;0;0;2;1;;;;0;1;2;;3;0;1
1100001435000;1741.8036583;2;2;;;;0;0;0;0;1;;;;;1;2;;2;0;1
1100001443000;4603.3011748;0;;;;;0;0;0;2;1;;;;2;1;2;;0;0;1
1100001444000;1934.1250054;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001446000;2391.4881858;2;2;;;;1;0;0;2;0;1;;;2;;2;;2;1;2
1100001448000;2288.3651263;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001454000;3493.2297573;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001457000;2252.0144197;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001463000;3997.5436794;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001464000;6032.7926822;1;2;;;;0;0;0;0;3;;;;;2;2;;1;0;1
1100001465000;2263.3445257;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;1
1100001513000;4051.3554738;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100001515000;2301.1043357;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;1
1100001518000;1535.9867685;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001526000;1947.7280162;2;2;;;;0;0;0;0;2;;;;;0;2;;2;0;4
1100001533000;4898.4928395;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001535000;1903.234653;1;2;;;;0;0;0;2;0;;;;1;;2;;1;0;2
1100001538000;1569.4109816;1;2;;;;0;0;0;1;0;;;;0;;2;;1;0;2
1100001543000;4800.8756348;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001545000;1531.9970036;2;2;;;;0;0;0;3;2;;;;3;2;2;;2;0;1
1100001546000;2733.9292004;2;2;;;;0;1;0;2;1;;0;;2;1;2;;2;0;2
1100001547000;4066.479324;1;2;;;;1;0;0;3;1;1;;;0;1;2;;1;1;1
1100001548000;2133.4976241;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001553000;3856.9587181;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100001554000;1356.402435;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001555000;1246.4854386;2;2;;;;0;0;0;2;0;;;;2;;2;;2;0;1
1100001558000;1449.011467;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001563000;3680.840423;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
