ident_ind;ident_men;ident_log;NOI;SEXE;LIEN_01;LIEN_02;LIEN_03;LIEN_04;LIEN_05;LIEN_06;LIEN_07;LIEN_08;LIEN_09;LIEN_10;tr_age
110000042400001;1100000424000;110000042400;01;1;00;;;;;;;;;;75 ans et plus
110000042500001;1100000425000;110000042500;01;1;00;01;03;03;;;;;;;De 25 à 34 ans
110000042500002;1100000425000;110000042500;02;2;01;00;03;03;;;;;;;De 25 à 34 ans
110000042500003;1100000425000;110000042500;03;1;02;02;00;10;;;;;;;Moins de 18 ans
110000042500004;1100000425000;110000042500;04;1;02;02;10;00;;;;;;;Moins de 18 ans
110000042600001;1100000426000;110000042600;01;1;00;01;03;03;03;;;;;;De 35 à 49 ans
110000042600002;1100000426000;110000042600;02;2;01;00;03;03;03;;;;;;De 35 à 49 ans
110000042600003;1100000426000;110000042600;03;1;02;02;00;10;10;;;;;;Moins de 18 ans
110000042600004;1100000426000;110000042600;04;2;02;02;10;00;10;;;;;;Moins de 18 ans
110000042600005;1100000426000;110000042600;05;2;02;02;10;10;00;;;;;;Moins de 18 ans
110000043300001;1100000433000;110000043300;01;2;00;;;;;;;;;;75 ans et plus
110000043400001;1100000434000;110000043400;01;1;00;03;;;;;;;;;De 50 à 64 ans
110000043400002;1100000434000;110000043400;02;1;02;00;;;;;;;;;Moins de 18 ans
110000043500001;1100000435000;110000043500;01;2;00;01;03;03;;;;;;;De 35 à 49 ans
110000043500002;1100000435000;110000043500;02;1;01;00;03;03;;;;;;;De 35 à 49 ans
110000043500003;1100000435000;110000043500;03;2;02;02;00;10;;;;;;;Moins de 18 ans
110000043500004;1100000435000;110000043500;04;1;02;02;10;00;;;;;;;Moins de 18 ans
110000043800001;1100000438000;110000043800;01;2;00;;;;;;;;;;De 50 à 64 ans
110000044700001;1100000447000;110000044700;01;1;00;;;;;;;;;;De 25 à 34 ans
110000045300001;1100000453000;110000045300;01;2;00;;;;;;;;;;De 25 à 34 ans
110000045400001;1100000454000;110000045400;01;2;00;01;03;03;;;;;;;De 35 à 49 ans
110000045400002;1100000454000;110000045400;02;1;01;00;03;03;;;;;;;De 35 à 49 ans
110000045400003;1100000454000;110000045400;03;1;02;02;00;10;;;;;;;Moins de 18 ans
110000045400004;1100000454000;110000045400;04;1;02;02;10;00;;;;;;;Moins de 18 ans
110000045800001;1100000458000;110000045800;01;2;00;03;;;;;;;;;75 ans et plus
110000045800002;1100000458000;110000045800;02;1;02;00;;;;;;;;;De 65 à 74 ans
110000046500001;1100000465000;110000046500;01;1;00;01;;;;;;;;;De 50 à 64 ans
110000046500002;1100000465000;110000046500;02;2;01;00;;;;;;;;;De 50 à 64 ans
110000046700001;1100000467000;110000046700;01;2;00;03;03;03;;;;;;;De 50 à 64 ans
110000046700002;1100000467000;110000046700;02;1;02;00;10;10;;;;;;;De 18 à 25 ans
110000046700003;1100000467000;110000046700;03;2;02;10;00;10;;;;;;;Moins de 18 ans
110000046700004;1100000467000;110000046700;04;2;02;10;10;00;;;;;;;Moins de 18 ans
110000051700001;1100000517000;110000051700;01;2;00;03;;;;;;;;;De 35 à 49 ans
110000051700002;1100000517000;110000051700;02;1;02;00;;;;;;;;;Moins de 18 ans
110000051800001;1100000518000;110000051800;01;1;00;01;03;03;;;;;;;De 25 à 34 ans
110000051800002;1100000518000;110000051800;02;2;01;00;03;03;;;;;;;De 18 à 25 ans
110000051800003;1100000518000;110000051800;03;1;02;02;00;10;;;;;;;Moins de 18 ans
110000051800004;1100000518000;110000051800;04;2;02;02;10;00;;;;;;;Moins de 18 ans
110000052300001;1100000523000;110000052300;01;2;00;;;;;;;;;;75 ans et plus
110000052600001;1100000526000;110000052600;01;2;00;01;;;;;;;;;75 ans et plus
110000052600002;1100000526000;110000052600;02;1;01;00;;;;;;;;;75 ans et plus
110000052700001;1100000527000;110000052700;01;1;00;01;03;03;;;;;;;De 50 à 64 ans
110000052700002;1100000527000;110000052700;02;2;01;00;32;32;;;;;;;De 50 à 64 ans
110000052700003;1100000527000;110000052700;03;2;02;31;00;10;;;;;;;De 18 à 25 ans
110000052700004;1100000527000;110000052700;04;1;02;31;10;00;;;;;;;Moins de 18 ans
110000052800001;1100000528000;110000052800;01;1;00;01;;;;;;;;;De 65 à 74 ans
110000052800002;1100000528000;110000052800;02;2;01;00;;;;;;;;;De 50 à 64 ans
110000053400001;1100000534000;110000053400;01;2;00;01;;;;;;;;;75 ans et plus
110000053400002;1100000534000;110000053400;02;1;01;00;;;;;;;;;75 ans et plus
110000053500001;1100000535000;110000053500;01;2;00;01;;;;;;;;;75 ans et plus
110000053500002;1100000535000;110000053500;02;1;01;00;;;;;;;;;75 ans et plus
110000053800001;1100000538000;110000053800;01;1;00;01;03;03;;;;;;;De 35 à 49 ans
