IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_velo;KVELOCAT;KVELOLDD;KVELOBTP;KVELOFREQ;KVELOQUI;KVELOUTIL_FLAG;KVELOUTIL_A;KVELOUTIL_B;KVELOUTIL_C;KVELOUTIL_D;KVPARKVELO;KVKM1SEM
110000154600021;1100001546000;21;2733.9292004;2;2;2;6;2;1;0;1;0;0;1;
110000154600022;1100001546000;22;2733.9292004;2;2;2;6;3;1;0;1;0;0;1;
110000155500021;1100001555000;21;1246.4854386;1;2;2;6;1;1;0;1;0;0;3;
110000155500022;1100001555000;22;1246.4854386;1;2;2;6;2;1;0;1;0;0;3;
110000162500021;1100001625000;21;1612.0377993;6;2;2;6;3;1;0;1;0;0;4;
110000163500021;1100001635000;21;1040.5359876;4;2;2;3;2;1;0;0;0;1;3;4
110000172300021;1100001723000;21;4148.6477708;2;2;2;4;1;1;0;1;0;0;4;0
110000174500021;1100001745000;21;1283.9250206;4;2;1;1;1;1;0;0;1;1;2;50
110000174500022;1100001745000;22;1283.9250206;2;2;2;2;3;1;0;0;0;1;2;30
110000175400022;1100001754000;22;3806.2423671;1;2;2;5;1;1;0;1;0;0;3;
110000175400021;1100001754000;21;3806.2423671;4;2;2;1;2;1;0;0;1;0;3;10
110000182500022;1100001825000;22;1500.7616741;4;2;2;6;1;1;0;1;0;0;1;
110000182500021;1100001825000;21;1500.7616741;6;2;2;2;1;1;0;1;1;1;1;0
110000183800021;1100001838000;21;1517.9124305;1;2;2;2;1;1;1;0;0;0;5;4
110000184700022;1100001847000;22;4583.7286013;4;2;2;1;2;1;0;0;1;0;5;10
110000184700021;1100001847000;21;4583.7286013;4;2;2;1;1;1;0;0;1;0;5;12
110000185700021;1100001857000;21;2369.0131947;4;2;2;5;1;1;0;0;1;0;1;
110000185700022;1100001857000;22;2369.0131947;4;2;2;3;2;1;0;0;1;0;1;5
110000186300021;1100001863000;21;4778.4512458;1;2;2;6;1;1;1;1;0;0;3;
110000186700021;1100001867000;21;3494.6233629;2;2;2;6;1;1;0;0;1;0;5;
110000191500021;1100001915000;21;1683.7215106;1;2;2;5;3;1;0;1;0;0;4;
110000192400021;1100001924000;21;3520.3798419;1;2;2;3;1;1;1;0;0;0;1;0
110000192500021;1100001925000;21;1502.7795052;4;2;2;5;3;1;0;0;0;1;5;
110000192500022;1100001925000;22;1502.7795052;4;2;2;6;4;1;0;0;0;1;5;
110000194800021;1100001948000;21;2549.4011963;99;2;2;3;1;1;1;1;0;0;3;0
110000201700021;1100002017000;21;1869.7116245;4;2;2;6;1;1;0;1;0;0;3;
110000201700022;1100002017000;22;1869.7116245;4;2;1;1;1;1;1;0;0;0;1;1
110000203300021;1100002033000;21;3738.436429;2;2;2;5;1;1;1;0;0;0;4;
110000204500022;1100002045000;22;1733.6971345;2;2;2;1;2;1;0;0;1;0;2;25
110000204500021;1100002045000;21;1733.6971345;4;2;2;3;1;1;1;0;0;0;2;0
110000205700023;1100002057000;23;2383.3245452;4;2;2;6;3;1;0;1;0;0;5;
110000205700021;1100002057000;21;2383.3245452;4;2;2;2;2;1;0;0;1;0;4;40
110000205700022;1100002057000;22;2383.3245452;3;2;2;3;1;1;0;1;1;0;4;15
110000215400021;1100002154000;21;3546.8854942;1;2;2;6;1;1;0;1;0;0;3;
110000215400022;1100002154000;22;3546.8854942;2;2;2;6;2;1;0;1;0;0;3;
110000216400021;1100002164000;21;3629.1613643;4;2;2;6;1;1;0;1;0;0;5;
110000216400022;1100002164000;22;3629.1613643;4;2;2;6;2;1;0;1;0;0;5;
110000216400023;1100002164000;23;3629.1613643;4;2;2;6;3;1;0;1;0;0;5;
110000222700021;1100002227000;21;3825.1026614;4;2;2;2;2;1;0;0;1;0;1;20
110000223300021;1100002233000;21;4100.2903679;4;2;1;1;1;1;0;0;1;1;6;44
110000223400022;1100002234000;22;1867.1819392;4;2;2;1;1;1;0;0;0;1;2;6
110000223400021;1100002234000;21;1867.1819392;4;2;2;2;2;1;0;1;0;1;2;3
110000225400022;1100002254000;22;3939.262384;4;2;2;6;2;1;0;0;0;1;6;
110000225400021;1100002254000;21;3939.262384;6;2;2;1;2;1;0;0;1;0;3;30
110000231500021;1100002315000;21;1137.6706183;4;2;2;6;1;1;0;0;0;1;7;
110000232400021;1100002324000;21;2045.3302864;2;2;2;1;1;1;1;0;1;0;5;200
110000233700021;1100002337000;21;3796.768217;2;2;2;2;2;1;0;0;1;0;2;20
110000235400022;1100002354000;22;2474.6950625;4;2;2;6;21;1;0;1;0;0;3;
110000235400021;1100002354000;21;2474.6950625;4;2;2;1;2;1;0;0;1;1;3;20
110000241400021;1100002414000;21;2698.8665322;4;2;2;2;1;1;0;1;0;0;5;6
110000244500021;1100002445000;21;1188.8439357;2;2;2;2;1;1;0;1;0;0;9;20
