ident_ind;ident_men;ident_log;NOI;BS;HABRP;vague_enq;SEXE;ANAIS;AGE;AGEJANV;AG;AGEQ;AGQ;AGE6;AG6;LNAIS;NAIS7;ANARRIV;INATIO;NATIO7;COUPLE;COUPLRP;CONJOINT;ETAMATRI;PACS;LIENTYP;LIENPERS;ENFANT;ENFRP;LIEN_01;LIEN_02;LIEN_03;LIEN_04;LIEN_05;LIEN_06;LIEN_07;LIEN_08;LIEN_09;LIEN_10;AIDE1E;IDENTAID;TYPOLOG;JOURAN;JOURSEM;MOISAN;JOUR2AN;DOLOG;IDOLOG;IPROPLOC;AUTLOG;LOGCOL;TYPLOGCO;TYPLOGCO_A;TYPLOGCO_B;TYPLOGCO_C;TYPLOGCO_D;TYPLOGCO_E;TYPLOGCO_F;TYPLOGCO_G;TYPLOGCO_H;LOGIND;NAUTLOG_IND;NOLOG1_IND;TYPOLOGD1;JOURAND1;JOURSEMD1;MOISAND1;JOUR2AND1;DOLOGD1;NOLOG2_IND;TYPOLOGD2;JOURAND2;JOURSEMD2;MOISAND2;JOUR2AND2;DOLOGD2;HANDICAP;IGREF;PRACT;IPRAN;LIENPREF;LIENPRRP;FAMPRINC;CS42;CS24;SITUA;ACTIF;ACTOCCUP;ACTOCCUPE;TRAVAIL;TRAVAILNR;ACTIVANTE;STATUT;RECHEMPLOI;CS_ACT;TYPEMPLOI;TITULAIREFP;TEMPTRAV;SUPERVISION;CLASSIF;FONCTION;SALARIES;STATUTANTE;SUPERVISANTE;CLASSIFANTE;CS_ANTE;STATUTCD;CLASSIFCD;CS_DCD;DIP11;DDIPL;MER1E;MER2E;PER1E;PER2E;APART;TYPFAM
110000022800001;1100000228000;110000022800;01;0;1;2;1;1956;62;61;62;60;60;60;60;2;6;1973;1;1;3;2;;1;2;;;2;2;00;;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;75;73;5;2;2;0;2;2;1;;3;;;;;;;;;1;3;4;42;;;;10;1;3;;3;;;0
110000023400003;1100000234000;110000023400;03;0;1;3;1;2012;6;5;6;05;05;00;00;1;1;;;;;2;;1;;;;1;1;02;02;00;10;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;0;2;2;02;02;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;1
110000023500002;1100000235000;110000023500;02;0;1;3;1;1951;67;66;67;65;65;60;60;1;1;;1;1;1;1;1;2;;;;2;2;01;00;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;74;73;5;2;2;0;2;2;1;;3;;;;;;;;;3;1;7;38;;;;50;5;3;;3;;2;0
110000023800001;1100000238000;110000023800;01;0;1;3;1;1980;37;37;38;35;35;30;30;2;5;2003;3;5;3;2;;1;2;;;2;2;00;;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;46;46;1;1;1;0;1;;;3;3;46;6;;1;1;5;;;;;;;;;;10;1;2;;2;;;0
110000024300001;1100000243000;110000024300;01;0;1;4;2;1928;90;89;90;75;75;60;60;1;1;;1;1;3;2;;3;2;;;2;2;00;;;;;;;;;;;;1;;;;;100;4;;1;2;;0;0;0;0;0;0;0;0;1;1;1;5;;;;15;4.1095890411;;;;;;;;2;1;1;2;00;00;1;78;76;5;2;2;0;2;2;1;;3;;;;;;;;;3;3;2;63;3;7;38;70;7;3;;3;;;0
110000025500002;1100000255000;110000025500;02;0;1;5;1;1979;40;39;40;40;40;40;40;1;1;;1;1;1;1;1;2;;;;2;2;01;00;32;03;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;2;2;2;01;00;1;65;61;1;1;1;0;1;;;3;3;65;6;;1;3;;;;;;;;;;;50;5;2;;3;;2;2
110000025700002;1100000257000;110000025700;02;0;1;5;1;1976;42;42;43;40;40;40;40;1;1;;1;1;1;1;1;2;;;;2;2;01;00;03;03;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;43;41;1;1;1;0;1;;;2;3;43;6;2;1;3;;;;;;;;;;;33;3;2;;2;;2;1
110000026400001;1100000264000;110000026400;01;0;1;6;1;1948;70;70;71;70;70;60;60;1;1;;1;1;1;1;2;2;;;;2;2;00;01;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;75;73;5;2;2;0;2;2;1;;3;;;;;;;;;3;3;3;47;;;;31;3;3;;3;;2;0
110000026500001;1100000265000;110000026500;01;0;1;6;2;1987;32;31;32;30;30;30;30;1;1;;1;1;1;1;2;2;;;;2;2;00;01;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;2;2;2;01;01;1;37;36;1;1;1;0;1;;;3;3;37;6;;1;3;7;;;;;;;;;;10;1;2;;2;;2;0
110000026800001;1100000268000;110000026800;01;0;1;6;1;1962;57;56;57;55;55;50;50;1;1;;1;1;3;2;;1;2;;;2;2;00;;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;77;76;7;2;2;0;2;2;1;;3;;;;;;;;;3;3;;54;;;;71;7;2;;2;;;0
