IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_veh;KVROUL;cylindree_fin;energie_fin;energie_agrege;hybride;energie_statinfo;energie_CritAir;critair;puis_fisc_fin;ANNEE_1mec;age;ANNEE_acq;dur_acq;KVAQUIV;KVAQUINO01;KVAQUINO02;KVAQUINO03;KVAQUINO04;KVAQUINO05;KVAQUINO06;KVAQUINO07;KVAQUINO08;KVAQUINO09;KVAQUINO10;KVAQUINO11;KVAQUINO12;KVAQUINO13;KVAQUINO14;KVAQUINO15;KVAQUINO16;KVAQUINO17;KVAQUINO18;KVAQUINO19;KVAQUINO20;KVAQUINO21;KVQUICONV01;KVQUICONV02;KVQUICONV03;KVQUICONV04;KVQUICONV05;KVQUICONV06;KVQUICONV07;KVQUICONV08;KVQUICONV09;KVQUICONV10;KVQUICONV11;KVQUICONV12;KVQUICONV13;KVQUICONV14;KVQUICONV15;KVQUICONV16;KVQUICONV17;KVQUICONV18;KVQUICONV19;KVQUICONV20;KVQUICONV21;KVQUI9COV;KVQUICONPV;KVKMV;indic_km_corr;KVKMVT;KVKM1ANV;indic_km_annu_corr;KVKM1ANVT;KVCONS;KVGAREJOUR;KVGARENUIT;KVGARELEC_FLAG;KVGARELEC_A;KVGARELEC_B
110000023400001;1100000234000;01;2463.0526103;1;1.5;GO;2;;4;2;3;5;2011;84;2011;84;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;100468.96125;INTERPO;5;10223.422967;INTERPO;4;6.5;2;2;1;0;0
110000023500001;1100000235000;01;1269.2590565;1;1.4;ES;1;;2;4;2;5;2007;136;2013;62;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;109793.89262;INTERPO;5;8196.5771812;INTERPO;3;6;2;2;1;0;0
110000023500002;1100000235000;02;1269.2590565;1;2.5;GO;2;;4;2;2;8;2012;72;2015;42;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;91628.323529;INTERPO;4;12073.412448;INTERPO;4;9;2;2;1;0;0
110000025500001;1100000255000;01;2449.2009614;1;0.9;ES;1;;2;4;1;5;2013;63;2013;63;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;54826.864198;INTERPO;3;10591.218302;INTERPO;4;1.4;2;2;1;0;0
110000025500002;1100000255000;02;2449.2009614;1;999;;;;;;;99;.;;2016;31;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;;;9;;;9;9999;2;2;1;0;0
110000026400001;1100000264000;01;2109.9209117;1;1.3;ES;1;;2;4;1;7;2018;9;2018;5;1;1;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;8428.8749943;ESTIMAT;1;10983.4763;ESTIMAT;4;6.7;1;1;1;1;0
110000026500002;1100000265000;02;1962.4509697;1;1.6;GO;2;;4;2;2;6;2017;23;2017;23;4;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;4;2;43405.944325;INTERPO;2;24884.711225;INTERPO;6;6;2;2;1;0;0
110000026500001;1100000265000;01;1962.4509697;1;0.9;ES;1;;2;4;1;4;2016;30;2017;15;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;27702.019109;ESTIMAT;2;11024.623154;ESTIMAT;4;6;2;2;1;0;0
110000031300001;1100000313000;01;1381.2196187;1;;GO;2;;4;2;5;7;2000;215;2016;18;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;258434.88235;INTERPO;7;10895.013248;INTERPO;4;7;2;2;1;0;0
110000031400001;1100000314000;01;4024.4868949;1;1.2;ES;1;;2;4;2;5;2006;138;2010;98;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;92958.453039;INTERPO;4;12823.39779;INTERPO;4;6;2;2;1;0;0
