IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_veh;ANNEE_1mec;ANNEE_acq;age_mois_veh;KVAVCAT2R;KVCYLIND2R;KVQUICON2R01;KVQUICON2R02;KVQUICON2R03;KVQUICON2R04;KVQUICON2R05;KVQUICON2R06;KVQUICON2R07;KVQUICON2R08;KVQUICON2R09;KVQUICON2R10;KVQUICON2R11;KVQUICON2R12;KVQUICON2R13;KVQUICON2R14;KVQUICON2R15;KVQUICON2R16;KVQUICON2R17;KVQUICON2R18;KVQUICON2R19;KVQUICON2R20;KVQUICON2R21;KVQUICONP2R;KVPARK2R;KVKM1AN2R;KVKM1AN2RT
220000091600006;2200000916000;06;1149.212553;2015;2015;33;1;1255;2;;;;;;;;;;;;;;;;;;;;;;1;12000;
220000094300006;2200000943000;06;3250.5953568;2017;2017;15;2;49.3;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
220000094600006;2200000946000;06;1603.0841578;2011;2011;91;1;649;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
220000104600006;2200001046000;06;1812.795105;1998;2015;244;1;;2;;;;;;;;;;;;;;;;;;;;;;1;500;
220000104600007;2200001046000;07;1812.795105;2005;2018;161;1;1670;2;;;;;;;;;;;;;;;;;;;;;;1;250;
220000106300006;2200001063000;06;1964.3825705;2011;2016;98;2;49;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
220000123200006;2200001232000;06;903.91871821;1998;2008;243;1;;1;;;;;;;;;;;;;;;;;;;;;;1;300;
220000126400006;2200001264000;06;2307.8112048;2003;2003;193;1;636;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
220000144400006;2200001444000;06;2111.9407213;2007;2017;142;1;599;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
220000145600006;2200001456000;06;1933.8314225;.;2018;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;10000;
220000153400006;2200001534000;06;1461.8083057;2009;.;107;2;49;2;1;;;;;;;;;;;;;;;;;;;;2;2;10526;
220000153400007;2200001534000;07;1461.8083057;2008;2015;120;2;50;1;;;;;;;;;;;;;;;;;;;;;;2;5552;
220000162200006;2200001622000;06;1446.8268893;1966;2000;628;3;49;1;;;;;;;;;;;;;;;;;;;;;;1;50;
220000162500006;2200001625000;06;2236.7963677;2007;2016;136;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;4500;
220000172200006;2200001722000;06;1033.9575715;2000;2015;217;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
220000191200006;2200001912000;06;1567.2656842;2013;2015;60;1;806;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
220000191500006;2200001915000;06;2650.7918206;2002;2002;191;1;;1;;;;;;;;;;;;;;;;;;;;;;1;200;
220000193400006;2200001934000;06;2246.225601;2008;2007;122;2;49.7;1;;;;;;;;;;;;;;;;;;;;;;2;;4
220000236500006;2200002365000;06;2007.6029552;2006;2006;155;1;599;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
230000015200006;2300000152000;06;1468.3324152;2005;2018;165;1;1050;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
230000015600006;2300000156000;06;2363.5076471;1999;.;233;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
230000023100006;2300000231000;06;1300.4025766;2007;2016;140;1;1832;2;;;;;;;;;;;;;;;;;;;;;;1;;2
230000023200006;2300000232000;06;1965.9903542;2013;2014;61;2;114;1;;;;;;;;;;;;;;;;;;;;;;1;500;
230000031800006;2300000318000;06;1090.1769274;2007;.;130;2;49.9;2;;;;;;;;;;;;;;;;;;;;;;1;5000;
230000034100006;2300000341000;06;1329.6650101;.;2010;;2;;2;;;;;;;;;;;;;;;;;;;;;;2;1000;
230000036500006;2300000365000;06;931.70134531;2005;2012;162;1;998;1;;;;;;;;;;;;;;;;;;;;;;1;2500;
230000044200006;2300000442000;06;425.79813469;2009;2009;117;1;125;2;;;;;;;;;;;;;;;;;;;;;;1;200;
230000044200007;2300000442000;07;425.79813469;2015;2015;41;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;700;
230000044500006;2300000445000;06;1245.571648;2010;2016;103;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
230000051100006;2300000511000;06;2318.6306602;.;2009;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;300;
230000051800006;2300000518000;06;1118.5811807;2016;2016;24;1;749;2;;;;;;;;;;;;;;;;;;;;;;1;3000;
230000052500006;2300000525000;06;2129.8697484;2017;2017;17;1;1690;1;;;;;;;;;;;;;;;;;;;;;;1;2800;
230000054400006;2300000544000;06;2264.1110024;1998;2016;241;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;2
230000062600006;2300000626000;06;1137.6316706;.;.;;1;1100;1;;;;;;;;;;;;;;;;;;;;;;1;;6
230000063200006;2300000632000;06;985.00931116;2003;2017;182;1;;2;;;;;;;;;;;;;;;;;;;;;;1;200;
