IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_veh;ANNEE_1mec;ANNEE_acq;age_mois_veh;KVAVCAT2R;KVCYLIND2R;KVQUICON2R01;KVQUICON2R02;KVQUICON2R03;KVQUICON2R04;KVQUICON2R05;KVQUICON2R06;KVQUICON2R07;KVQUICON2R08;KVQUICON2R09;KVQUICON2R10;KVQUICON2R11;KVQUICON2R12;KVQUICON2R13;KVQUICON2R14;KVQUICON2R15;KVQUICON2R16;KVQUICON2R17;KVQUICON2R18;KVQUICON2R19;KVQUICON2R20;KVQUICON2R21;KVQUICONP2R;KVPARK2R;KVKM1AN2R;KVKM1AN2RT
410000074500007;4100000745000;07;1724.3263418;2005;2011;160;2;124;1;2;;;;;;;;;;;;;;;;;;;;2;1;1000;
410000076500007;4100000765000;07;1268.1109503;2013;2013;68;1;1199;1;;;;;;;;;;;;;;;;;;;;;;1;10000;
410000076500006;4100000765000;06;1268.1109503;2018;2018;5;2;292;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
410000076500008;4100000765000;08;1268.1109503;1986;2010;392;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;9
410000081500006;4100000815000;06;1052.3498843;2010;2013;93;2;400;1;;;;;;;;;;;;;;;;;;;;;;1;2500;
410000102100006;4100001021000;06;3096.7746469;1987;2018;369;1;;1;;;;;;;;;;;;;;;;;;;;;;1;350;
410000105500006;4100001055000;06;1646.8478628;2008;2018;129;1;645;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
410000113400006;4100001134000;06;2497.4402924;2011;2012;85;1;645;1;;;;;;;;;;;;;;;;;;;;;;1;30000;
410000113500006;4100001135000;06;1525.2804123;2005;2018;164;1;600;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
410000114500006;4100001145000;06;1308.3066784;2008;2008;128;1;125;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
410000132500006;4100001325000;06;1158.2375426;2013;2015;63;1;471;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
410000142500006;4100001425000;06;912.83004233;2005;2005;156;2;99.9;1;;;;;;;;;;;;;;;;;;;;;;1;100;
410000143500006;4100001435000;06;1707.5687408;2011;2018;90;1;1585;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
410000145500006;4100001455000;06;1334.9646258;2005;2005;163;1;1170;2;;;;;;;;;;;;;;;;;;;;;;1;;9
410000156200006;4100001562000;06;1271.9765245;2007;2013;143;1;649;1;;;;;;;;;;;;;;;;;;;;;;1;500;
410000156200007;4100001562000;07;1271.9765245;2012;2017;79;1;1690;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
410000163400006;4100001634000;06;3196.6316386;1994;2018;292;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
410000171400006;4100001714000;06;2169.3880784;2012;2018;70;1;1198;2;;;;;;;;;;;;;;;;;;;;;;1;500;
410000185200006;4100001852000;06;1294.3295423;2006;2018;152;1;499;2;;;;;;;;;;;;;;;;;;;;;;1;150;
410000186500006;4100001865000;06;1542.6491453;1997;2017;264;1;;2;;;;;;;;;;;;;;;;;;;;;;1;500;
410000211500006;4100002115000;06;876.88529775;1993;2001;297;1;;2;;;;;;;;;;;;;;;;;;;;;;1;2500;
410000212500006;4100002125000;06;1379.725822;.;.;;1;1200;1;;;;;;;;;;;;;;;;;;;;;;1;25000;
410000214200006;4100002142000;06;977.2739838;2013;2015;61;1;1050;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
410000241200006;4100002412000;06;1559.5290015;2005;2016;156;1;803;1;;;;;;;;;;;;;;;;;;;;;;1;;9
410000241200007;4100002412000;07;1559.5290015;2009;2018;108;1;1079;2;;;;;;;;;;;;;;;;;;;;;;1;38537;
410000241400006;4100002414000;06;1807.8916677;2018;2018;4;1;1043;2;;;;;;;;;;;;;;;;;;;;;;1;5000;
410000244500006;4100002445000;06;1880.363828;2011;2015;89;2;50;3;;;;;;;;;;;;;;;;;;;;;;1;6000;
410000251500006;4100002515000;06;1450.1108511;.;2007;;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;;9
410000285500006;4100002855000;06;1213.8710757;2016;2018;28;1;749;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
410000285500007;4100002855000;07;1213.8710757;2014;2016;55;1;85;21;;;;;;;;;;;;;;;;;;;;;;1;300;
410000285500008;4100002855000;08;1213.8710757;2018;2019;7;1;85;21;;;;;;;;;;;;;;;;;;;;;;1;100;
410000292200006;4100002922000;06;1049.1594021;.;2008;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;300;
410000303200006;4100003032000;06;1546.6676003;2017;2017;16;1;1050;1;;;;;;;;;;;;;;;;;;;;;;1;6000;
410000306400006;4100003064000;06;2658.1952438;2011;2017;93;1;649;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
410000313200006;4100003132000;06;2672.6435367;2014;2018;52;1;952;1;;;;;;;;;;;;;;;;;;;;;;1;100;
410000322200006;4100003222000;06;1421.0701247;1985;2003;394;1;;2;;;;;;;;;;;;;;;;;;;;;;1;30;
410000325500006;4100003255000;06;733.67480717;1997;2016;261;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
410000335500006;4100003355000;06;1490.265359;2006;2016;155;1;249;1;;;;;;;;;;;;;;;;;;;;;;1;;9
410000361400007;4100003614000;07;2863.3981573;2004;2017;165;2;49;2;;;;;;;;;;;;;;;;;;;;;;1;3240;
410000361400006;4100003614000;06;2863.3981573;1993;.;298;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
410000361400008;4100003614000;08;2863.3981573;1999;.;228;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3200;
420000014500006;4200000145000;06;2301.9321173;2015;.;42;2;125;2;;;;;;;;;;;;;;;;;;;;;;1;100;
420000024200007;4200000242000;07;1068.2945017;2006;2017;145;2;49.2;21;;;;;;;;;;;;;;;;;;;;;;1;1000;
420000024200006;4200000242000;06;1068.2945017;1992;2013;321;1;;1;;;;;;;;;;;;;;;;;;;;;;1;8000;
420000041500006;4200000415000;06;1381.1271457;2011;2017;83;2;399;1;;;;;;;;;;;;;;;;;;;;;;1;500;
420000041500007;4200000415000;07;1381.1271457;2014;2014;44;2;49.2;3;;;;;;;;;;;;;;;;;;;;;;1;1000;
420000044100006;4200000441000;06;1434.0536131;2003;2013;188;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;9
420000054500006;4200000545000;06;1264.92123;2013;2013;69;1;1690;1;;;;;;;;;;;;;;;;;;;;;;1;9000;
420000063200006;4200000632000;06;2309.4897721;2017;2017;18;1;124;1;;;;;;;;;;;;;;;;;;;;;;2;3000;
420000065500006;4200000655000;06;2024.8523171;.;.;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;9
420000065500007;4200000655000;07;2024.8523171;.;.;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;9
420000065500008;4200000655000;08;2024.8523171;.;.;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;9
420000071200006;4200000712000;06;1126.7915888;2004;2016;167;1;600;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
420000075400006;4200000754000;06;2606.4106913;1993;1996;306;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
420000076200006;4200000762000;06;2594.4926333;2012;2012;78;2;49;2;;;;;;;;;;;;;;;;;;;;;;1;6500;
420000076500006;4200000765000;06;1317.6747517;2010;2013;107;1;1198;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
420000091200006;4200000912000;06;2177.8876988;2015;.;37;1;1215;2;;;;;;;;;;;;;;;;;;;;;;1;2500;
420000091200007;4200000912000;07;2177.8876988;2016;2017;26;2;278;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
420000091200008;4200000912000;08;2177.8876988;2015;2015;33;2;124;1;3;;;;;;;;;;;;;;;;;;;;1;1;3000;
420000093200006;4200000932000;06;1405.3607624;.;2016;;3;49;1;;;;;;;;;;;;;;;;;;;;;;1;;1
420000101500006;4200001015000;06;1163.4621594;.;2016;;1;1300;2;;;;;;;;;;;;;;;;;;;;;;1;700;
420000105200006;4200001052000;06;1184.9604532;2013;2013;67;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
420000106400006;4200001064000;06;1816.5543082;2006;2006;155;1;649;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
420000106400007;4200001064000;07;1816.5543082;2003;.;185;2;;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
420000116500006;4200001165000;06;1828.2878321;1986;2010;391;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;9
420000122200006;4200001222000;06;2261.4782796;2006;2010;141;1;599;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
420000122500006;4200001225000;06;1823.6048661;2003;2013;176;1;125;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
420000123200006;4200001232000;06;2006.7424101;1999;2005;229;1;;2;;;;;;;;;;;;;;;;;;;;;;1;5000;
420000125400006;4200001254000;06;2311.4583411;2002;2011;204;1;1402;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
420000133500006;4200001335000;06;1809.579737;2004;2018;165;1;49.7;3;;;;;;;;;;;;;;;;;;;;;;1;;1
420000135200006;4200001352000;06;1200.2098043;2007;2013;141;1;124.1;2;;;;;;;;;;;;;;;;;;;;;;1;800;
420000151200006;4200001512000;06;1818.5262219;2018;2018;2;1;1000;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
420000151200007;4200001512000;07;1818.5262219;.;2017;;1;;2;;;;;;;;;;;;;;;;;;;;;;6;500;
420000165200006;4200001652000;06;2365.6205147;2015;2015;43;1;847;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
420000193500006;4200001935000;06;2858.6025126;2008;2008;126;1;1250;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
420000193500007;4200001935000;07;2858.6025126;.;.;;1;450;1;;;;;;;;;;;;;;;;;;;;;;1;;2
420000202400006;4200002024000;06;1781.0146776;2014;2014;51;1;745;1;;;;;;;;;;;;;;;;;;;;;;1;6000;
420000202400007;4200002024000;07;1781.0146776;2017;2017;16;1;1200;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
420000202400008;4200002024000;08;1781.0146776;2004;2004;172;1;;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
420000202400009;4200002024000;09;1781.0146776;2012;2017;76;1;998;1;;;;;;;;;;;;;;;;;;;;;;1;10000;
420000202400010;4200002024000;10;1781.0146776;2004;2004;174;2;;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
420000226500006;4200002265000;06;1332.7622066;2008;2008;126;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;400;
420000235400006;4200002354000;06;1646.7727675;1994;1994;297;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
420000235500006;4200002355000;06;1263.3528976;1993;1993;306;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;9
420000243400006;4200002434000;06;1901.3330721;2010;2014;97;1;600;1;;;;;;;;;;;;;;;;;;;;;;1;;5
420000251500006;4200002515000;06;1175.8442676;2004;2004;168;1;;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
420000305500006;4200003055000;06;1569.6603622;2008;2015;129;1;1584;2;;;;;;;;;;;;;;;;;;;;;;1;2500;
430000015200006;4300000152000;06;1378.1621388;2010;2016;107;1;600;1;;;;;;;;;;;;;;;;;;;;;;1;4000;
430000036100006;4300000361000;06;4018.8875288;2017;2017;20;1;125;1;;;;;;;;;;;;;;;;;;;;;;4;1000;
430000046400006;4300000464000;06;4005.7193987;.;.;;2;49;1;;;;;;;;;;;;;;;;;;;;;;1;2500;
430000056400006;4300000564000;06;3032.4398418;1994;2011;296;1;;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
430000063100006;4300000631000;06;1948.6105417;.;.;;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;;9
430000082500006;4300000825000;06;1289.9648361;2008;.;126;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;300;
430000091500006;4300000915000;06;1387.5517707;2000;2000;217;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
430000116200006;4300001162000;06;1274.9984576;2001;2018;214;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;4
430000162200006;4300001622000;06;3037.9306952;2000;2000;218;1;;1;;;;;;;;;;;;;;;;;;;;;;1;80;
430000225200006;4300002252000;06;1536.1295878;2008;2018;129;1;124;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
520000015100006;5200000151000;06;1614.7145165;2004;2011;177;1;;1;;;;;;;;;;;;;;;;;;;;;;1;7500;
520000015300006;5200000153000;06;1194.4612305;.;.;;3;;1;;;;;;;;;;;;;;;;;;;;;;1;;2
520000025200006;5200000252000;06;1792.3318136;2012;2018;74;2;49.2;3;;;;;;;;;;;;;;;;;;;;;;1;;4
520000032500006;5200000325000;06;1234.8872966;2007;.;137;1;125;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
520000034100006;5200000341000;06;1486.8648973;2014;2014;55;1;1237;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
520000034100007;5200000341000;07;1486.8648973;2002;2015;202;1;782;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
520000034100008;5200000341000;08;1486.8648973;1997;2015;256;1;;1;;;;;;;;;;;;;;;;;;;;;;1;400;
520000034200006;5200000342000;06;1593.8940297;2003;2010;185;1;;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
520000036500006;5200000365000;06;1203.6229325;2009;2010;120;1;998;2;;;;;;;;;;;;;;;;;;;;;;1;;2
520000044500006;5200000445000;06;1228.4598618;.;.;;2;125;2;;;;;;;;;;;;;;;;;;;;;;1;;2
520000046500006;5200000465000;06;1125.6404491;2010;2010;102;1;1690;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
520000051200006;5200000512000;06;1051.7659512;2014;2014;46;1;1690;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
520000066200006;5200000662000;06;2362.752626;2003;2010;194;1;;1;;;;;;;;;;;;;;;;;;;;;;1;28500;
520000066500006;5200000665000;06;979.13894344;2010;2016;99;2;49.2;3;;;;;;;;;;;;;;;;;;;;;;1;;4
520000072200006;5200000722000;06;1742.2656984;2005;2015;160;1;599;2;;;;;;;;;;;;;;;;;;;;;;1;;9
520000072200007;5200000722000;07;1742.2656984;2004;2010;167;2;49.1;3;;;;;;;;;;;;;;;;;;;;;;1;8500;
520000094500006;5200000945000;06;2975.2114272;2016;2016;24;2;150;3;;;;;;;;;;;;;;;;;;;;;;1;3000;
520000114200006;5200001142000;06;792.71966294;.;2016;;2;;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
520000134200006;5200001342000;06;1044.2695549;2003;2014;187;1;636;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
520000143100006;5200001431000;06;3113.4834692;2014;2014;49;1;350;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
520000143100007;5200001431000;07;3113.4834692;1993;2018;306;1;;2;;;;;;;;;;;;;;;;;;;;;;1;500;
520000143200006;5200001432000;06;665.36046874;2009;2012;110;1;748;3;;;;;;;;;;;;;;;;;;;;;;1;300;
520000143500006;5200001435000;06;1116.8844226;.;.;;2;;3;;;;;;;;;;;;;;;;;;;;;;1;10000;
520000143500007;5200001435000;07;1116.8844226;.;.;;2;;4;;;;;;;;;;;;;;;;;;;;;;1;8000;
520000155200006;5200001552000;06;1709.6925467;2012;2017;77;2;49;3;;;;;;;;;;;;;;;;;;;;;;1;11017;
520000161500006;5200001615000;06;1377.1407146;2002;2002;192;1;996;1;;;;;;;;;;;;;;;;;;;;;;1;4000;
520000163400006;5200001634000;06;4582.4662316;.;.;;2;;21;;;;;;;;;;;;;;;;;;;;;;1;;2
520000171100006;5200001711000;06;1486.1392253;1994;2004;286;1;;1;;;;;;;;;;;;;;;;;;;;;;1;500;
520000184100006;5200001841000;06;1777.2157524;2010;2010;102;1;645;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
520000191400006;5200001914000;06;1700.5747988;2014;2014;48;2;49;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
520000195500006;5200001955000;06;1119.0920368;2018;2018;9;1;1170;2;;;;;;;;;;;;;;;;;;;;;;1;4500;
520000202200006;5200002022000;06;1067.9250484;2015;2015;36;1;997.5;1;;;;;;;;;;;;;;;;;;;;;;1;6000;
520000202500006;5200002025000;06;3316.1784155;1996;2017;262;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;450;
520000206100006;5200002061000;06;2208.2374844;2013;2017;66;1;296;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
520000206200006;5200002062000;06;1989.176653;2008;2017;127;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;500;
520000212200006;5200002122000;06;1364.8539168;2007;2017;134;1;645;2;;;;;;;;;;;;;;;;;;;;;;1;4000;
520000215200006;5200002152000;06;2323.1965717;2015;2015;39;2;49;3;;;;;;;;;;;;;;;;;;;;;;1;;2
520000216200006;5200002162000;06;1186.8528261;2010;2019;103;1;50;3;;;;;;;;;;;;;;;;;;;;;;1;;5
520000216200007;5200002162000;07;1186.8528261;2016;2018;35;1;50;4;;;;;;;;;;;;;;;;;;;;;;1;;2
520000226500006;5200002265000;06;1582.1105728;2006;2016;155;1;998;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
520000234200006;5200002342000;06;937.19975626;2015;2016;43;2;49;3;;;;;;;;;;;;;;;;;;;;;;1;3000;
520000236200006;5200002362000;06;1068.5234367;2017;2016;22;2;49.4;4;;;;;;;;;;;;;;;;;;;;;;1;6000;
520000236500006;5200002365000;06;1519.2204959;2017;2017;18;2;124.7;2;;;;;;;;;;;;;;;;;;;;;;1;6000;
520000242400006;5200002424000;06;1823.4879894;.;.;;1;900;1;;;;;;;;;;;;;;;;;;;;;;1;50;
520000254400006;5200002544000;06;2047.6401723;2018;2018;5;1;124;2;;;;;;;;;;;;;;;;;;;;;;1;800;
520000264500006;5200002645000;06;1795.7948597;2006;2017;146;2;49.2;3;;;;;;;;;;;;;;;;;;;;;;1;2000;
520000265200006;5200002652000;06;1058.4597204;2010;2011;107;1;600;2;;;;;;;;;;;;;;;;;;;;;;1;3000;
520000273500006;5200002735000;06;1177.6742532;2008;2018;120;1;660;3;;;;;;;;;;;;;;;;;;;;;;1;;9
520000283200006;5200002832000;06;803.50874825;2002;2008;197;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
520000283200008;5200002832000;08;803.50874825;2007;2007;134;2;50;3;;;;;;;;;;;;;;;;;;;;;;1;3000;
520000283200007;5200002832000;07;803.50874825;1995;1995;279;1;;2;;;;;;;;;;;;;;;;;;;;;;1;7000;
520000284200006;5200002842000;06;1211.1726907;2002;2015;203;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
520000291500006;5200002915000;06;1358.3683668;2009;2009;106;1;600;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
520000292200006;5200002922000;06;1264.3221715;2006;2016;145;1;897;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
520000292200007;5200002922000;07;1264.3221715;2010;2015;102;1;49.7;3;;;;;;;;;;;;;;;;;;;;;;1;2100;
520000292200008;5200002922000;08;1264.3221715;2012;2016;78;1;49.7;4;;;;;;;;;;;;;;;;;;;;;;1;1000;
520000293200006;5200002932000;06;1922.3398243;2005;2011;157;1;448;2;;;;;;;;;;;;;;;;;;;;;;1;200;
520000311500006;5200003115000;06;860.85485083;2001;2004;208;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
520000312500006;5200003125000;06;1290.003842;2018;2018;0;3;50;5;;;;;;;;;;;;;;;;;;;;;;1;;8
520000313200006;5200003132000;06;724.74828633;2014;2014;47;2;49.2;4;;;;;;;;;;;;;;;;;;;;;;1;4500;
520000314400006;5200003144000;06;2017.2772877;2012;2013;76;1;599;2;;;;;;;;;;;;;;;;;;;;;;1;3000;
520000314400007;5200003144000;07;2017.2772877;2013;2017;69;2;49.9;4;;;;;;;;;;;;;;;;;;;;;;1;330;
520000315200006;5200003152000;06;943.19489302;2004;.;171;1;600;2;;;;;;;;;;;;;;;;;;;;;;1;;2
520000323200006;5200003232000;06;914.54864126;2015;2015;33;2;49;4;;;;;;;;;;;;;;;;;;;;;;1;1800;
520000331200006;5200003312000;06;1554.3589474;2014;2014;41;2;49.2;3;;;;;;;;;;;;;;;;;;;;;;1;1000;
520000336500006;5200003365000;06;2019.8526153;1990;1993;347;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
520000354200006;5200003542000;06;1363.7480276;2009;2017;109;1;1195;1;;;;;;;;;;;;;;;;;;;;;;1;;2
520000354200007;5200003542000;07;1363.7480276;2015;2015;40;3;49.9;1;;;;;;;;;;;;;;;;;;;;;;1;40;
520000375200006;5200003752000;06;2374.5133509;2008;2015;129;1;1298;2;;;;;;;;;;;;;;;;;;;;;;1;;2
520000376200006;5200003762000;06;968.35439593;2007;2018;137;1;1157;2;;;;;;;;;;;;;;;;;;;;;;1;7000;
520000391500006;5200003915000;06;1449.344779;2016;2018;19;1;900;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
520000395400006;5200003954000;06;2239.2981679;2015;2015;37;2;49.6;3;;;;;;;;;;;;;;;;;;;;;;1;10;
520000414400006;5200004144000;06;1675.2032668;2008;2013;121;1;124.2;1;;;;;;;;;;;;;;;;;;;;;;1;7000;
520000442500006;5200004425000;06;1337.6842671;2000;2016;213;1;600;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
520000446200006;5200004462000;06;1426.7460137;1998;2004;247;1;;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
520000451400006;5200004514000;06;1208.0633618;2005;2015;152;1;124;2;;;;;;;;;;;;;;;;;;;;;;2;1000;
520000451500006;5200004515000;06;1314.1911773;1996;2018;264;1;;2;;;;;;;;;;;;;;;;;;;;;;1;750;
520000463400006;5200004634000;06;1679.0824102;1999;2005;237;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
520000464500006;5200004645000;06;1025.3566319;1996;2005;270;1;;1;;;;;;;;;;;;;;;;;;;;;;1;500;
520000466200006;5200004662000;06;1431.6511284;2016;2017;38;1;50;3;;;;;;;;;;;;;;;;;;;;;;1;1500;
520000474500006;5200004745000;06;1103.691492;2006;2011;151;1;1170;1;;;;;;;;;;;;;;;;;;;;;;1;4000;
520000484500006;5200004845000;06;913.24352087;2008;2013;126;1;459;1;;;;;;;;;;;;;;;;;;;;;;1;12000;
520000485400006;5200004854000;06;1837.759162;2017;2017;19;1;645;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
520000496200006;5200004962000;06;2541.7028564;2014;2019;52;1;50;3;;;;;;;;;;;;;;;;;;;;;;1;500;
520000501400006;5200005014000;06;1526.0977058;2011;2011;84;1;803;1;;;;;;;;;;;;;;;;;;;;;;1;4000;
520000503500006;5200005035000;06;1022.6326256;2018;2015;4;3;49;1;;;;;;;;;;;;;;;;;;;;;;1;300;
520000505200006;5200005052000;06;2357.3907841;2013;2013;67;2;;3;;;;;;;;;;;;;;;;;;;;;;1;;3
520000566500006;5200005665000;06;1214.4607193;2015;2015;39;3;49;2;;;;;;;;;;;;;;;;;;;;;;1;900;
530000034500006;5300000345000;06;2381.4562646;.;1994;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;250;
530000055200006;5300000552000;06;1233.1437016;2005;2011;162;1;1157;2;;;;;;;;;;;;;;;;;;;;;;1;3000;
530000056200006;5300000562000;06;903.0474575;.;.;;1;125;2;;;;;;;;;;;;;;;;;;;;;;1;;1
530000074500006;5300000745000;06;1587.251258;.;.;;3;;1;21;;;;;;;;;;;;;;;;;;;;21;1;100;
530000076200006;5300000762000;06;1242.2292179;2008;2015;129;3;49;2;;;;;;;;;;;;;;;;;;;;;;1;5000;
530000081500006;5300000815000;06;1957.6060359;2009;2017;108;1;600;1;;;;;;;;;;;;;;;;;;;;;;1;8000;
530000083200006;5300000832000;06;3482.365506;1997;2017;254;1;;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
530000083200007;5300000832000;07;3482.365506;.;2010;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;500;
530000085500006;5300000855000;06;1060.0033349;1993;1996;311;1;;2;;;;;;;;;;;;;;;;;;;;;;1;250;
530000092400006;5300000924000;06;1578.0184594;2009;2009;105;1;649;1;;;;;;;;;;;;;;;;;;;;;;1;6000;
530000094200006;5300000942000;06;4725.7462224;2018;2018;1;1;50;3;;;;;;;;;;;;;;;;;;;;;;1;200;
530000103200006;5300001032000;06;2467.331212;2015;2015;34;1;499;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
530000103200007;5300001032000;07;2467.331212;2002;2015;199;1;249.3;1;;;;;;;;;;;;;;;;;;;;;;1;200;
530000103200008;5300001032000;08;2467.331212;2017;2017;16;2;49;4;;;;;;;;;;;;;;;;;;;;;;1;2600;
530000105500006;5300001055000;06;923.08273043;2018;2018;6;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;9
530000106500006;5300001065000;06;1050.7160336;2011;2016;94;1;1202;2;;;;;;;;;;;;;;;;;;;;;;1;300;
530000111500006;5300001115000;06;2039.9670324;2017;2017;11;1;803;1;;;;;;;;;;;;;;;;;;;;;;1;2500;
530000113400006;5300001134000;06;1659.3230919;2001;2005;210;1;885;1;;;;;;;;;;;;;;;;;;;;;;1;35000;
530000121500006;5300001215000;06;1065.714854;2005;2008;157;2;124;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
530000131400006;5300001314000;06;4635.4553902;.;2018;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;2
530000132300006;5300001323000;06;2433.9508345;2009;2017;112;2;49.9;1;21;;;;;;;;;;;;;;;;;;;;1;1;200;
530000134200006;5300001342000;06;2370.0048028;2007;2016;142;1;125;1;;;;;;;;;;;;;;;;;;;;;;2;2000;
530000134200007;5300001342000;07;2370.0048028;1999;2014;232;1;;1;;;;;;;;;;;;;;;;;;;;;;2;1000;
530000143500006;5300001435000;06;2090.1077212;.;2014;;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;300;
530000146500006;5300001465000;06;1461.7922256;2003;.;187;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;2
530000164400006;5300001644000;06;926.5983701;2013;2013;68;1;670;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
530000165500006;5300001655000;06;1802.0738767;2008;2010;126;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
530000166500006;5300001665000;06;2195.6893942;2009;2019;117;1;125;2;;;;;;;;;;;;;;;;;;;;;;1;60;
530000194500006;5300001945000;06;3141.328309;2010;2018;107;1;299;2;;;;;;;;;;;;;;;;;;;;;;1;150;
530000201500006;5300002015000;06;2078.4753669;2007;2014;132;1;1298;2;;;;;;;;;;;;;;;;;;;;;;1;200;
530000221100006;5300002211000;06;1650.0143308;2009;.;106;1;675;2;;;;;;;;;;;;;;;;;;;;;;1;5000;
530000221100007;5300002211000;07;1650.0143308;2007;2017;126;1;865;2;;;;;;;;;;;;;;;;;;;;;;1;3000;
530000223500006;5300002235000;06;1349.0683014;1998;2010;243;1;;2;;;;;;;;;;;;;;;;;;;;;;1;3000;
530000232500006;5300002325000;06;1487.4371342;1998;1998;246;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
530000232500007;5300002325000;07;1487.4371342;.;.;;3;50;3;;;;;;;;;;;;;;;;;;;;;;1;6000;
530000232500008;5300002325000;08;1487.4371342;.;.;;3;50;4;;;;;;;;;;;;;;;;;;;;;;1;6000;
530000235200006;5300002352000;06;492.00028509;.;2017;;1;750;2;;;;;;;;;;;;;;;;;;;;;;2;;5
530000235200007;5300002352000;07;492.00028509;.;2018;;2;49;4;;;;;;;;;;;;;;;;;;;;;;1;;1
